ROWID,DATACODE,RECTYPE,RECYEAR,SEASON,WATERSHED/LINE,Pm,Rmeg,Sh,Bh,Rmon,St,Mo,Pl,Ch,Mm,Nf,Sc,Zh,Cp
57,CSM01,1,1983,SP,004B-E,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,CSM01,1,1983,SP,004B-W,0,0,0,0,0,0,0,4,0,0,0,0,0,0
59,CSM01,1,1983,SP,001D-E,0,0,0,0,0,0,0,0,0,0,0,1,0,0
60,CSM01,1,1983,SP,001D-W,0,0,0,0,0,0,1,0,0,0,0,0,0,0
61,CSM01,1,1983,SP,020B-E,0,0,0,0,0,0,1,0,0,0,0,2,0,0
62,CSM01,1,1983,SP,020B-W,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,CSM01,1,1983,SP,N20B-N,3,0,0,0,0,1,3,0,0,0,0,0,0,0
64,CSM01,1,1983,SP,N20B-S,0,0,0,0,0,0,2,0,0,0,0,1,0,0
65,CSM01,1,1983,SP,N01B-E,0,0,0,0,0,0,2,0,0,0,0,0,0,0
66,CSM01,1,1983,SP,N01B-W,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,CSM01,1,1983,SP,N04D-E,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,CSM01,1,1983,SP,N04D-W,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,CSM01,1,1984,AU,004F-E,2,0,0,8,0,1,0,2,0,0,0,0,0,0
70,CSM01,1,1984,AU,004F-W,5,1,0,3,0,0,1,3,0,0,0,0,0,0
71,CSM01,1,1984,AU,004B-E,8,0,0,4,0,1,0,0,0,0,0,0,0,0
72,CSM01,1,1984,AU,004B-W,4,0,0,1,0,0,0,2,0,0,0,0,0,0
73,CSM01,1,1984,AU,001D-E,5,0,0,2,0,0,0,0,0,0,0,0,0,0
74,CSM01,1,1984,AU,001D-W,5,0,0,2,0,0,0,0,0,0,0,0,0,0
75,CSM01,1,1984,AU,020B-E,3,0,0,7,0,0,1,0,0,0,0,0,0,0
