DATACODE,RECTYPE,RECYEAR,SEASON,WATERSHED/LINE,Pm,Rmeg,Sh,Bh,Rmon,St,Mo,Pl,Ch,Mm,Nf,Sc,Zh,Cp
CSM04,1,2000,AU,SuB-B,5,0,1,0,0,0,2,4,0,0,0,0,0,0
CSM04,1,2000,AU,WA-A,7,0,15,3,0,0,0,1,0,0,1,0,0,0
CSM04,1,2000,AU,WB-B,12,0,4,0,0,1,0,0,0,0,0,0,0,0
CSM04,1,2000,SP,FA-A,5,0,0,0,0,0,0,4,0,0,0,0,0,0
CSM04,1,2000,SP,FB-B,3,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2000,SP,SpB-A,1,2,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2000,SP,SpB-B,2,1,0,0,0,0,0,1,0,0,0,0,0,0
CSM04,1,2000,SP,SuB-A,2,1,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2000,SP,SuB-B,2,1,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2000,SP,WA-A,3,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2000,SP,WB-B,9,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2001,AU,FA-A,8,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2001,AU,FB-B,4,0,0,0,0,0,0,9,0,0,0,0,0,0
CSM04,1,2001,AU,SpB-A,7,0,3,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2001,AU,SpB-B,6,1,6,0,0,0,0,7,0,0,0,0,0,0
CSM04,1,2001,AU,SuB-A,8,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2001,AU,SuB-B,5,0,0,0,0,0,0,3,0,0,0,0,0,0
CSM04,1,2001,AU,WA-A,3,0,0,0,0,0,0,5,0,0,0,0,0,0
CSM04,1,2001,AU,WB-B,6,1,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2001,SP,FA-A,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CSM04,1,2001,SP,FB-B,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CSM04,1,2001,SP,SpB-A,1,0,0,0,0,1,0,0,0,0,0,0,0,0
CSM04,1,2001,SP,SpB-B,3,1,0,0,0,1,0,0,0,0,0,0,0,0
CSM04,1,2001,SP,SuB-A,0,1,0,0,0,0,0,1,0,0,0,0,0,0
CSM04,1,2001,SP,SuB-B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2001,SP,WA-A,3,0,0,0,0,0,0,1,0,0,0,0,0,0
CSM04,1,2001,SP,WB-B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
